Tonala,-3242,-1220,1595.0
Zacatecas,-3084,-1219,2483.0
Aguascalientes,-3169,-1218,1879.0
Zamora de Hidalgo,-3282,-1217,1590.0
Uruapan del Progreso,-3342,-1216,1664.0
Lubbock,-2274,-1215,976.0
Leon,-3209,-1214,1801.0
Monclova,-2854,-1213,614.0
Irapuato,-3236,-1212,1755.0
Salamanca,-3245,-1211,1715.0
Morelia,-3298,-1210,1906.0
Saltillo,-2934,-1209,1596.0
San Luis Potosi,-3154,-1208,1893.0
Soledad Diez Gutierrez,-3151,-1207,1851.0
Ciudad Acuna,-2742,-1206,294.0
Celaya,-3250,-1205,1765.0
Piedras Negras,-2774,-1204,222.0
Santa Catarina,-2916,-1203,699.0
Garza Garcia,-2918,-1202,614.0
Queretaro,-3243,-1201,1868.0
General Escobedo,-2907,-1200,505.0
Monterrey,-2919,-1199,563.0
San Nicolas de los Garzas,-2913,-1198,501.0
Guadalupe,-2917,-1197,488.0
Apodaca,-2912,-1196,435.0
San Juan del Rio,-3256,-1195,1970.0
Brandon,937,-1194,378.0
Acapulco de Juarez,-3572,-1193,37.0
Toluca,-3354,-1192,2686.0
Metepec,-3358,-1191,2627.0
Iguala de la Independencia,-3436,-1190,761.0
Nuevo Laredo,-2832,-1189,110.0
Laredo,-2830,-1188,115.0
Chilpancingo de los Bravos,-3541,-1187,1262.0
Huixquilucan,-3348,-1186,2694.0
Nicolas Romero,-3320,-1185,2371.0
Ciudad Lopez Mateos,-3327,-1184,2326.0
Cuernavaca,-3379,-1183,1510.0
Cuautitlan Izcalli,-3314,-1182,2300.0
Naucalpan de Juarez,-3337,-1181,2290.0
Tlalnepantla,-3331,-1180,2277.0
Jiutepec,-3382,-1179,1430.0
Mexico City,-3340,-1178,2216.0
Ciudad Victoria,-3001,-1177,298.0
Coacalco,-3318,-1176,2264.0
San Pablo de las Salinas,-3311,-1175,2237.0
Ecatepec,-3324,-1174,2259.0
Ciudad Nezahualcoyotl,-3344,-1173,2214.0
Ciudad Valles,-3165,-1172,66.0
Los Reyes,-3349,-1171,2340.0
Cuautla Morelos,-3388,-1170,1313.0
Xico,-3357,-1169,2239.0
Chalco de Diaz Covarrubias,-3356,-1168,2243.0
Ixtapaluca,-3351,-1167,2252.0
Texcoco de Mora,-3333,-1166,2254.0
Pachuca de Soto,-3276,-1165,2409.0
San Antonio,-2732,-1164,196.0
Cholula,-3371,-1163,2156.0
Reynosa,-2893,-1162,35.0
Puebla de Zaragoza,-3373,-1161,2175.0
Tampico,-3148,-1160,4.0
Ciudad Madero,-3146,-1159,10.0
Austin,-2693,-1158,163.0
Oklahoma City,-1891,-1157,364.0
Matamoros,-2903,-1156,6.0
Poza Rica de Hidalgo,-3249,-1155,72.0
Corpus Christi,-2811,-1154,6.0
Tehuacan,-3421,-1153,1555.0
Wichita,-1459,-1152,402.0
Fort Worth,-2395,-1151,199.0
Winnipeg,951,-1150,230.0
Arlington,-2392,-1149,184.0
Orizaba,-3383,-1148,1216.0
Cordoba,-3381,-1147,824.0
Jalapa Enriquez,-3329,-1146,1397.0
Dallas,-2377,-1145,137.0
Oaxaca de Juarez,-3561,-1144,1550.0
Plano,-2328,-1143,200.0
Lincoln,-908,-1142,382.0
Garland,-2351,-1141,165.0
Veracruz,-3362,-1140,1.0
Tulsa,-1742,-1139,213.0
Omaha,-799,-1138,0.0
Houston,-2716,-1137,15.0
Kansas City,-1238,-1136,271.0
North Kansas City,-1234,-1135,223.0
Minatitlan,-3507,-1134,4.0
Coatzacoalcos,-3479,-1133,1.0
Minneapolis,-103,-1132,259.0
Tuxtla Gutierrez,-3580,-1131,571.0
Saint Paul,-111,-1130,235.0
Villahermosa,-3508,-1129,9.0
San Cristobal de Las Casas,-3579,-1128,2190.0
Tapachula,-3773,-1127,135.0
Malacatan,-3776,-1126,385.0
San Pablo,-3764,-1125,586.0
Coatepeque,-3832,-1124,439.0
Ciudad del Carmen,-3397,-1123,1.0
San Marcos,-3755,-1122,2411.0
San Pedro Sacatepequez,-3757,-1121,2320.0
Colomba,-3827,-1120,1058.0
Jacaltenango,-3649,-1119,1342.0
Comitancillo,-3737,-1118,2322.0
Nuevo San Carlos,-3858,-1117,376.0
Retalhuleu,-3879,-1116,242.0
San Sebastian,-3871,-1115,322.0
Ostuncalco,-3783,-1114,2498.0
El Palmar,-3843,-1113,702.0
La Esperanza,-3782,-1112,2443.0
San Francisco Zapotitlan,-3862,-1111,563.0
Quetzaltenango,-3792,-1110,2381.0
Mazatenango,-3880,-1109,343.0
San Andres Xecul,-3775,-1108,2446.0
San Mateo Ixtatan,-3634,-1107,2514.0
Huehuetenango,-3694,-1106,1907.0
San Pablo Jocopilas,-3863,-1105,598.0
Cantel,-3795,-1104,2374.0
San Francisco El Alto,-3761,-1103,2582.0
Momostenango,-3742,-1102,2233.0
Pueblo Nuevo Tiquisate,-3943,-1101,64.0
Santa Catarina Ixtahuacan,-3799,-1100,2231.0
Totonicapan,-3768,-1099,2480.0
Chicacao,-3878,-1098,475.0
Nahuala,-3786,-1097,2482.0
Barillas,-3637,-1096,1554.0
Santa Barbara,-3909,-1095,390.0
Santiago Atitlan,-3846,-1094,1596.0
Solola,-3812,-1093,2136.0
Patulul,-3913,-1092,298.0
Baton Rouge,-2673,-1091,0.0
Panajachel,-3821,-1090,1595.0
Santa Cruz del Quiche,-3748,-1089,1979.0
Nebaj,-3678,-1088,2001.0
San Lucas Toliman,-3849,-1087,1962.0
Chichicastenango,-3765,-1086,2233.0
La Gomera,-3975,-1085,36.0
Santa Lucia Cotzumalguapa,-3931,-1084,356.0
Patzun,-3836,-1083,2200.0
Tecpan Guatemala,-3808,-1082,2354.0
Patzicia,-3852,-1081,2121.0
Comalapa,-3816,-1080,2107.0
San Andres Itzapa,-3854,-1079,1858.0
Puerto San Jose,-4011,-1078,6.0
Chimaltenango,-3839,-1077,1798.0
Alotenango,-3895,-1076,1377.0
Joyabaj,-3751,-1075,1405.0
